Sequence,CPU Usage (%),Memory Usage (MB)
1,11.77,36
2,0.31,35.88
3,0.31,35.96
4,1.42,36.18
5,1.21,37
6,1.38,37.52
7,0.97,36.86
8,1.05,36.61
9,0.93,36.96
10,0.67,37.82
11,1.2,37.67
12,0.71,37.69
13,1.25,37.57
14,1.85,38.22
15,0.51,38.55
16,0.79,38.25
17,0.94,38.26
18,0.51,38.27
19,1.22,39.18
20,0.81,39.61
21,0.91,39.18
22,0.93,38.72
23,0.44,39.05
24,0.91,39.91
25,1.38,39.84
