Request Number,Response Time
1,0.07740998268127441
2,0.07218146324157715
3,0.06426429748535156
4,0.0636589527130127
5,0.06445074081420898
6,0.07586479187011719
7,0.05875754356384277
8,0.06336450576782227
9,0.04828190803527832
10,0.06684279441833496
11,0.06763839721679688
12,0.0634772777557373
13,0.06749415397644043
14,0.06336784362792969
15,0.0677950382232666
16,0.06641387939453125
17,0.06453633308410645
18,0.0652158260345459
19,0.06724023818969727
20,0.06510376930236816
21,0.0415959358215332
22,0.05668377876281738
23,0.04874014854431152
24,0.04811453819274902
25,0.04966592788696289
26,0.048683881759643555
27,0.0512080192565918
28,0.06809687614440918
29,0.06297445297241211
30,0.045955657958984375
31,0.052985429763793945
32,0.050719499588012695
33,0.04850053787231445
34,0.051506996154785156
35,0.06573200225830078
36,0.06441187858581543
37,0.06634140014648438
38,0.048760414123535156
39,0.0448155403137207
40,0.054840087890625
41,0.04808187484741211
42,0.04962563514709473
43,0.04763317108154297
44,0.056593894958496094
45,0.06102633476257324
46,0.06603407859802246
47,0.04647064208984375
48,0.045196533203125
49,0.06809639930725098
50,0.051206350326538086
51,0.05019879341125488
52,0.055269479751586914
53,0.0634617805480957
54,0.06447792053222656
55,0.06608080863952637
56,0.0463871955871582
57,0.04901456832885742
58,0.05229806900024414
59,0.04819059371948242
60,0.050362586975097656
61,0.04655766487121582
62,0.050432443618774414
63,0.050763607025146484
64,0.0484158992767334
65,0.047885894775390625
66,0.04773306846618652
67,0.05411863327026367
68,0.04125356674194336
69,0.05764627456665039
70,0.047992706298828125
71,0.04900336265563965
72,0.05097484588623047
73,0.06807136535644531
74,0.06222128868103027
75,0.05148816108703613
76,0.07421326637268066
77,0.05462765693664551
78,0.04877042770385742
79,0.051286935806274414
80,0.05943107604980469
81,0.05578112602233887
82,0.04826474189758301
83,0.049730777740478516
84,0.04850196838378906
85,0.05345797538757324
86,0.04214930534362793
87,0.05109834671020508
88,0.05011105537414551
89,0.04893064498901367
90,0.04938197135925293
91,0.05112504959106445
92,0.04799056053161621
93,0.048653602600097656
94,0.05206704139709473
95,0.046025991439819336
96,0.05209159851074219
97,0.04915022850036621
98,0.048249006271362305
99,0.05038285255432129
100,0.049646854400634766
