Sequence,CPU Usage (%),Memory Usage (MB)
1,23.89,37.18
2,0,37.18
3,0.31,38.02
4,5.09,38.46
5,6.03,40.06
6,5.35,40.54
7,4.69,41.52
8,4.76,43.66
9,6.33,41.54
10,4.71,42.51
11,4.76,42.9
12,4.65,43.86
13,4.99,42.81
14,4.63,44.69
15,5.57,43.87
16,2.42,42.23
17,4.11,43.89
18,6.27,44.34
19,5.21,42.78
20,5.54,43.98
21,2.39,43.17
22,10.42,45.04
23,5.33,44.34
24,2.32,45.58
25,4.7,44.94
