Request Number,Response Time
1,0.5537467002868652
2,0.495025634765625
3,0.49870944023132324
4,0.5614492893218994
5,0.4913034439086914
6,0.49829840660095215
7,0.4969825744628906
8,0.5069530010223389
9,0.49328017234802246
10,0.4593994617462158
11,0.46346497535705566
12,0.49833202362060547
13,0.4662003517150879
14,0.4994947910308838
15,0.521486759185791
16,0.49384617805480957
17,0.4795703887939453
18,0.5616211891174316
19,0.5093402862548828
20,0.524834394454956
21,0.4665262699127197
22,0.4658637046813965
23,0.5408265590667725
24,0.4955728054046631
25,0.4892270565032959
26,0.48104214668273926
27,0.5245578289031982
28,0.4538536071777344
29,0.562570333480835
30,0.4900226593017578
31,0.5291202068328857
32,0.49678516387939453
33,0.5733797550201416
34,0.5066492557525635
35,0.513512134552002
36,0.4791591167449951
37,0.580535888671875
38,0.5340607166290283
39,0.4658944606781006
40,0.46797776222229004
41,0.4840536117553711
42,0.5159435272216797
43,0.46800851821899414
44,0.46251392364501953
45,0.5363407135009766
46,0.4884061813354492
47,0.535830020904541
48,0.5138072967529297
49,0.47532081604003906
50,0.4902949333190918
51,0.5149433612823486
52,0.5126588344573975
53,0.4916536808013916
54,0.638847827911377
55,0.5877721309661865
56,0.6529936790466309
57,0.49427223205566406
58,0.5371816158294678
59,0.5326759815216064
60,0.6086432933807373
61,0.5493288040161133
62,0.4854118824005127
63,0.5930337905883789
64,0.5432257652282715
65,0.6352155208587646
66,0.5738213062286377
67,0.5795624256134033
68,0.49067115783691406
69,0.7920491695404053
70,0.4869396686553955
71,0.48107218742370605
72,0.48116183280944824
73,0.5255036354064941
74,0.5180132389068604
75,0.5225486755371094
76,0.4703667163848877
77,0.48863768577575684
78,0.4654264450073242
79,0.4816105365753174
80,0.5880331993103027
81,0.6356241703033447
82,0.7231311798095703
83,0.6524684429168701
84,0.5195250511169434
85,0.5526072978973389
86,0.6757907867431641
87,0.5522060394287109
88,0.5324323177337646
89,0.4642338752746582
90,0.49635910987854004
91,0.5492856502532959
92,0.6262023448944092
93,0.7069137096405029
94,0.5527815818786621
95,0.4632127285003662
96,0.4971795082092285
97,0.4644465446472168
98,0.537839412689209
99,0.5387532711029053
100,0.4781942367553711
