Request Number,Response Time
1,0.15984845161437988
2,0.07652544975280762
3,0.057098388671875
4,0.06929373741149902
5,0.062140464782714844
6,0.06144595146179199
7,0.08300471305847168
8,0.07577085494995117
9,0.08208727836608887
10,0.08512163162231445
11,0.08135032653808594
12,0.0792534351348877
13,0.07628941535949707
14,0.06007027626037598
15,0.05353713035583496
16,0.08730721473693848
17,0.07571291923522949
18,0.06645679473876953
19,0.0765080451965332
20,0.061096906661987305
21,0.08296537399291992
22,0.0782623291015625
23,0.0837709903717041
24,0.1197967529296875
25,0.058892011642456055
26,0.07950615882873535
27,0.08028197288513184
28,0.08237719535827637
29,0.08728742599487305
30,0.07114171981811523
31,0.06097245216369629
32,0.06892895698547363
33,0.0744631290435791
34,0.07393670082092285
35,0.06849288940429688
36,0.05625295639038086
37,0.05083465576171875
38,0.08273959159851074
39,0.09491872787475586
40,0.0647130012512207
41,0.0824730396270752
42,0.08107590675354004
43,0.0785367488861084
44,0.17886662483215332
45,0.10493779182434082
46,0.07039451599121094
47,0.053063154220581055
48,0.04705548286437988
49,0.04931306838989258
50,0.08502674102783203
51,0.07681465148925781
52,0.09154129028320312
53,0.06658244132995605
54,0.0803384780883789
55,0.07906985282897949
56,0.07171273231506348
57,0.06320047378540039
58,0.0725240707397461
59,0.08534646034240723
60,0.08900213241577148
61,0.06311750411987305
62,0.07053637504577637
63,0.06007099151611328
64,0.06883382797241211
65,0.06882309913635254
66,0.06216883659362793
67,0.06087327003479004
68,0.07369112968444824
69,0.062248945236206055
70,0.059435367584228516
71,0.07578921318054199
72,0.07905411720275879
73,0.05454230308532715
74,0.08651494979858398
75,0.04737710952758789
76,0.06386828422546387
77,0.07381701469421387
78,0.060230255126953125
79,0.07583308219909668
80,0.07868742942810059
81,0.05821108818054199
82,0.07093191146850586
83,0.05876588821411133
84,0.07107806205749512
85,0.0644826889038086
86,0.06969714164733887
87,0.06162524223327637
88,0.06258058547973633
89,0.07214832305908203
90,0.06382179260253906
91,0.06510162353515625
92,0.06214284896850586
93,0.059751033782958984
94,0.07502460479736328
95,0.06666111946105957
96,0.08233880996704102
97,0.08393597602844238
98,0.055681705474853516
99,0.07807111740112305
100,0.07770729064941406
