Request Number,Response Time
1,0.7398388385772705
2,0.7018647193908691
3,0.6668643951416016
4,0.6671068668365479
5,0.6611380577087402
6,0.6355020999908447
7,0.6307194232940674
8,0.63124680519104
9,0.7484357357025146
10,0.6337106227874756
11,0.6498963832855225
12,0.6269979476928711
13,0.6476798057556152
14,0.6188714504241943
15,0.6350076198577881
16,0.6097695827484131
17,0.651073694229126
18,0.5977141857147217
19,0.6511304378509521
20,0.6152281761169434
21,0.6325774192810059
22,0.6332824230194092
23,0.6922447681427002
24,0.6508994102478027
25,0.6706597805023193
26,0.6949970722198486
27,0.61971116065979
28,0.6286337375640869
29,0.6147654056549072
30,0.6368083953857422
31,0.6264424324035645
32,0.6162765026092529
33,0.6369204521179199
34,0.6277115345001221
35,0.6501712799072266
36,0.6323184967041016
37,0.6401715278625488
38,0.6215412616729736
39,0.6197400093078613
40,0.627068042755127
41,0.6666674613952637
42,0.6338722705841064
43,0.63037109375
44,0.6164896488189697
45,0.598905086517334
46,0.6473383903503418
47,0.6156148910522461
48,0.6272618770599365
49,0.6160974502563477
50,0.6532835960388184
51,0.6835250854492188
52,0.7338888645172119
53,0.631249189376831
54,0.6141798496246338
55,0.6941297054290771
56,0.6172370910644531
57,0.6380107402801514
58,0.6025660037994385
59,0.6241950988769531
60,0.6470925807952881
61,0.6555061340332031
62,0.6579971313476562
63,0.6353676319122314
64,0.6322102546691895
65,0.6141676902770996
66,0.7266407012939453
67,0.6036074161529541
68,0.6152811050415039
69,0.6251320838928223
70,0.6053144931793213
71,0.6182718276977539
72,0.6313059329986572
73,0.6075029373168945
74,0.6185941696166992
75,0.6157476902008057
76,0.6211836338043213
77,0.6306419372558594
78,0.6346344947814941
79,0.608985424041748
80,0.6222226619720459
81,0.6298940181732178
82,0.6314201354980469
83,0.630678653717041
84,0.5952949523925781
85,0.6136500835418701
86,0.6766726970672607
87,0.6290581226348877
88,0.629899263381958
89,0.6167747974395752
90,0.6129364967346191
91,0.6346447467803955
92,0.613792896270752
93,0.6482713222503662
94,0.6146881580352783
95,0.633880615234375
96,0.6265578269958496
97,0.6556849479675293
98,0.6347479820251465
99,0.6302645206451416
100,0.6144087314605713
